DATASET,MEAN_MSE_TR,STD_MSE_TR,MEAN_MSE_TS,STD_MSE_TS,MEAN_ACCURACY_TR,STD_ACCURACY_TR,MEAN_ACCURACY_TS,STD_ACCURACY_TS
MONKS_1,0.031846778756410385,0.025281694696210073,0.048709492210738795,0.03733915284512644,0.9682926829268291,0.02645713836629752,0.9494199535962876,0.04061716698789115
MONKS_2,0.0013921812782883834,0.00013223443099377667,0.0014748137594913862,0.0001331568581914433,1.0,0.0,1.0,0.0
MONKS_3noreg_,0.022830007155712522,0.006704340814934925,0.047704913943668645,0.007969162324752643,0.9780991735537189,0.006546685751138394,0.9370069605568446,0.008565068195490596
MONKS_3withreg_,0.05955044099754819,0.0005407440438808497,0.04820137701667743,0.0015418319663089196,0.933884297520661,1.1102230246251565e-16,0.9714617169373548,0.001063242620639387
